Pincode,Place Name,Latitude,Longitude
843361,Jamua (Sitamahi),25.2917,88.5333
843360,Jajuar,25.2917,88.5333
843356,Dhankaul,25.2917,88.5333
843342,Parshurampur(Sitamarhi),25.2917,88.5333
843333,Nanpur,25.2917,88.5333
843332,Majorganj,25.2917,88.5333
843326,Raipur,30.25,77.5833
843325,Parsauni,25.2917,88.5333
843324,Parihar,25.2917,88.5333
843322,Majhaulia Estate,25.2917,88.5333
843321,Katra,25.2917,88.5333
843320,Janakpur Road,25.2917,88.5333
843314,Bajpatti,25.2917,88.5333
843313,Bairagania Bazar,25.2917,88.5333
843301,Janki Asthan,25.2917,88.5333
843164,Tepri,25.2917,88.5333
843147,Mahanth Maniari,25.2917,88.5333
843144,Katesar,25.2917,88.5333
843143,Karja,25.2917,88.5333
843141,Jasauli,25.2917,88.5333
843139,Baghnagri,25.2917,88.5333
843130,Kanti Thermal Power,25.2917,88.5333
843129,Narma,25.2917,88.5333
843126,Saraiya Factory,25.2917,88.5333
843124,Kathaiya,25.2917,88.5333
843123,Jaintpur Est,25.2917,88.5333
843122,Hardi (Muzaffarpur),25.2917,88.5333
843121,Dhuli Agricultural College,25.2917,88.5333
843120,Deoria,25.2917,88.5333
843117,Rampurhari,25.2917,88.5333
843116,R K Ashram,25.2917,88.5333
843115,Piar,25.2917,88.5333
843114,Patepur,25.2917,88.5333
843113,Patahi,25.2917,88.5333
843112,Paro,25.2917,88.5333
843109,Kanti,25.2917,88.5333
843108,Kalwari,25.2917,88.5333
843107,Gayaspur,25.2917,88.5333
843106,Gidha,25.2917,88.5333
843105,Dhuli,25.2917,88.5333
843104,Chandanpatti,25.2917,88.5333
843101,Bakhra,25.2917,88.5333
842004,Umanagar,25.2917,88.5333
842002,B M P Vi,25.2917,88.5333
842001,L S College,25.2917,88.5333
841506,Tarwara,25.0333,88.45
841504,Raghunathpur (Chapra),25.0333,88.45
841443,Gaura,25.0333,88.45
841442,Nagra,25.0333,88.45
841434,Goriakothi,25.0333,88.45
841432,Jhakhra (Chapra),25.0333,88.45
841431,Pachraur,25.0333,88.45
841430,Gawandri,25.0333,88.45
841424,Taraiya,25.0333,88.45
841422,Sahajitpur,25.0333,88.45
841421,Sarharwa,25.0333,88.45
841420,Rajapatti,25.0333,88.45
841413,Jamo Bazar,25.0333,88.45
841412,Jalalpur Bazar,25.0333,88.45
841411,Ichwapur,25.0333,88.45
841404,Bagaura,25.0333,88.45
841402,Aphar,25.0333,88.45
841401,Amnour,25.0333,88.45
841316,Naini,25.0333,88.45
841312,Garibtola,25.0333,88.45
841311,Garkha,25.0333,88.45
